
assignment1,Question 1 Clarification,YjairWTC40
logistics,Assignment 1 Graded,YjairWTC40
assignment1,Assignment 1 Graded,YjairWTC40
assignment2,Yelp Server,YjairWTC40
lectures,Conceptual question - relational state vs relational schema,YjairWTC40
logistics,Assignment 2 Graded,YjairWTC40
assignment2,Assignment 2 Graded,YjairWTC40
assignment3,HW3 Q2,YjairWTC40
assignment3,HW3,YjairWTC40
logistics,Assignment 4 Graded,YjairWTC40
assignment4,Assignment 4 Graded,YjairWTC40
hw1,A1 Tips,IvQtGSPKP9
hw2,Shuffle Deck,IvQtGSPKP9
hw2,Ace value,IvQtGSPKP9
hw3,Possible legal moves,IvQtGSPKP9
hw3,Filename changed after resubmission,IvQtGSPKP9
hw4,Exceptions,IvQtGSPKP9
assignments,RA operation,a9sskUPpbH
exams,Midterm content,a9sskUPpbH
assignments,SQL server,a9sskUPpbH
assignments,GROUP BY query,a9sskUPpbH
exams,Regrade request,a9sskUPpbH
preps,Week 10 Prep,a9sskUPpbH
preps,Week 11 Prep,a9sskUPpbH
exams,Final content,a9sskUPpbH
assignments,Database normalization,a9sskUPpbH
proj1,Java IDE,JqFUfLAumt
proj2,Runtime,JqFUfLAumt
proj3,Trouble with delete,JqFUfLAumt
proj4,Shuffling for Quicksort,JqFUfLAumt
proj5,BST item deletion,JqFUfLAumt
homeworks,Music Industry database Trouble,XVQf7mOI1Z
homeworks,Java GUI,XVQf7mOI1Z
homeworks,JDK version,XVQf7mOI1Z
exams,Sample midterms,XVQf7mOI1Z
exams,Sample final exams,XVQf7mOI1Z
